iter	Passed	Remaining
621	20289	12329
622	20314	12293
623	20344	12258
624	20373	12224
625	20399	12187
626	20425	12151
627	20453	12115
628	20482	12080
629	20512	12046
630	20551	12018
631	20576	11981
632	20606	11947
633	20635	11912
634	20666	11879
635	20694	11843
636	20728	11812
637	20761	11780
638	20794	11747
639	20823	11713
640	20851	11678
641	20877	11641
642	20905	11607
643	20933	11571
644	20961	11536
645	20988	11501
646	21015	11465
647	21049	11434
648	21080	11400
649	21108	11366
650	21135	11330
651	21164	11296
652	21189	11260
653	21220	11226
654	21250	11193
655	21277	11157
656	21303	11121
657	21334	11088
658	21360	11052
659	21389	11018
660	21422	10986
661	21450	10951
662	21477	10917
663	21504	10881
664	21535	10848
665	21563	10814
666	21597	10782
667	21622	10746
668	21651	10712
669	21681	10678
670	21708	10644
671	21736	10609
672	21772	10578
673	21798	10543
674	21831	10511
675	21861	10477
676	21887	10442
677	21916	10408
678	21947	10375
679	21976	10341
680	22003	10307
681	22035	10274
682	22064	10240
683	22094	10207
684	22128	10175
685	22156	10141
686	22184	10107
687	22218	10075
688	22246	10041
689	22276	10008
690	22306	9974
691	22333	9940
692	22363	9907
693	22395	9874
694	22421	9839
695	22451	9806
696	22479	9772
697	22507	9738
698	22541	9706
699	22568	9672
700	22596	9638
701	22631	9607
702	22732	9603
703	22800	9586
704	22827	9551
705	22857	9518
706	22882	9483
707	22916	9451
708	22943	9416
709	22972	9383
710	23003	9350
711	23030	9315
712	23060	9282
713	23088	9248
714	23114	9213
715	23142	9179
716	23170	9145
717	23205	9114
718	23233	9080
719	23262	9046
720	23290	9012
721	23315	8977
722	23344	8944
723	23372	8909
724	23403	8877
725	23435	8844
726	23471	8813
727	23502	8781
728	23530	8747
729	23556	8712
730	23585	8679
731	23611	8644
732	23639	8610
733	23666	8576
734	23694	8542
735	23724	8509
736	23753	8476
737	23779	8441
738	23806	8408
739	23839	8376
740	23878	8346
741	23906	8312
742	23934	8278
743	23968	8247
744	23994	8212
745	24023	8179
746	24053	8146
747	24082	8113
748	24108	8079
749	24134	8044
750	24164	8011
751	24191	7978
752	24221	7945
753	24253	7913
754	24285	7880
755	24313	7847
756	24340	7813
757	24367	7779
758	24397	7746
759	24424	7713
760	24476	7687
761	24519	7658
762	24549	7625
763	24577	7591
764	24603	7558
765	24631	7524
766	24661	7491
767	24689	7458
768	24716	7424
769	24748	7392
770	24775	7358
771	24803	7325
772	24829	7291
773	24855	7257
774	24884	7224
775	24942	7199
776	24970	7166
777	25001	7133
778	25033	7101
779	25066	7070
780	25093	7036
781	25121	7003
782	25151	6970
783	25178	6936
784	25208	6904
785	25237	6871
786	25263	6837
787	25297	6805
788	25326	6772
789	25354	6739
790	25380	6706
791	25409	6673
792	25436	6639
793	25468	6607
794	25500	6575
795	25529	6542
796	25608	6522
797	25693	6503
798	25722	6470
799	25749	6437
800	25778	6404
801	25816	6373
802	25846	6340
803	25872	6307
804	25901	6274
805	25930	6241
806	25958	6208
807	25991	6176
808	26022	6143
809	26049	6110
810	26083	6078
811	26112	6045
812	26144	6013
813	26171	5980
814	26200	5947
815	26231	5915
816	26260	5882
817	26292	5849
818	26320	5816
819	26354	5785
820	26382	5752
821	26410	5719
822	26438	5685
823	26465	5652
824	26494	5620
825	26523	5587
826	26551	5554
827	26581	5521
828	26616	5490
829	26644	5457
830	26673	5424
831	26701	5391
832	26734	5359
833	26765	5327
834	26789	5293
835	26819	5261
836	26847	5228
837	26878	5196
838	26905	5163
839	26934	5130
840	26962	5097
841	26992	5065
842	27022	5032
843	27051	5000
844	27082	4967
845	27109	4934
846	27141	4902
847	27168	4869
848	27196	4837
849	27226	4804
850	27252	4771
851	27280	4738
852	27308	4706
853	27334	4673
854	27364	4640
855	27400	4609
856	27428	4576
857	27455	4543
858	27489	4512
859	27520	4480
860	27550	4447
861	27578	4415
862	27604	4382
863	27632	4349
864	27665	4317
865	27693	4285
866	27724	4252
867	27752	4220
868	27780	4187
869	27808	4155
870	27836	4122
871	27863	4090
872	27893	4057
873	27926	4025
874	27954	3993
875	27986	3961
876	28014	3929
877	28041	3896
878	28070	3864
879	28098	3831
880	28125	3799
881	28152	3766
882	28181	3734
883	28213	3702
884	28240	3669
885	28268	3637
886	28298	3605
887	28326	3572
888	28356	3540
889	28383	3508
890	28410	3475
891	28438	3443
892	28512	3416
893	28617	3393
894	28644	3360
895	28675	3328
896	28703	3295
897	28739	3264
898	28766	3231
899	28791	3199
900	28822	3166
901	28854	3134
902	28880	3102
903	28907	3069
904	28934	3037
905	28966	3005
906	28999	2973
907	29027	2941
908	29056	2908
909	29088	2876
910	29113	2844
911	29140	2811
912	29169	2779
913	29202	2747
914	29230	2715
915	29263	2683
916	29291	2651
917	29320	2619
918	29349	2586
919	29376	2554
920	29404	2522
921	29438	2490
922	29470	2458
923	29502	2426
924	29538	2395
925	29567	2362
926	29596	2330
927	29623	2298
928	29653	2266
929	29679	2233
930	29707	2201
931	29735	2169
932	29761	2137
933	29792	2105
934	29818	2072
935	29844	2040
936	29873	2008
937	29902	1976
938	29931	1944
939	29962	1912
940	29991	1880
941	30020	1848
942	30049	1816
943	30078	1784
944	30103	1752
945	30132	1720
946	30163	1688
947	30196	1656
948	30252	1625
949	30280	1593
950	30313	1561
951	30342	1529
952	30369	1497
953	30397	1465
954	30423	1433
955	30454	1401
956	30485	1369
957	30512	1337
958	30541	1305
959	30569	1273
960	30602	1241
961	30631	1209
962	30661	1178
963	30689	1146
964	30719	1114
965	30747	1082
966	30779	1050
967	30806	1018
968	30833	986
969	30867	954
970	30893	922
971	30921	890
972	30949	858
973	30980	826
974	31007	795
975	31033	763
976	31062	731
977	31089	699
978	31123	667
979	31151	635
980	31182	603
981	31211	572
982	31240	540
983	31269	508
984	31296	476
985	31325	444
986	31352	412
987	31423	381
